rule_id,severity,subject,cluster_id,person_number,summary,visible_in_platform_data,evidence
R3_ORPHANED_NHI,HIGH,dev-ct-scanner-01,C000272,,"DEVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-01-2,C000283,,"DEVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-01-3,C000292,EMP343510,"DEVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": ""EMP343510"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-01-4,C000312,EMP558106,"DEVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": ""EMP558106"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-02,C000255,,"DEVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-02-2,C000278,EMP277691,"DEVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": ""EMP277691"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-infusion-icu-02-4,C000294,,"DEVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,dev-mri-01,C000284,EMP586386,"DEVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""DEVICE"", ""owner_person_number"": ""EMP586386"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-cerner-lab-5,C000293,EMP560948,"INTERFACE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": ""EMP560948"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-cerner-lab-6,C000295,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-cerner-lab-9,C000321,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-cerner-rad,C000251,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-pacs-bridge-2,C000254,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-pacs-bridge-3,C000270,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-pacs-bridge-5,C000318,EMP586386,"INTERFACE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": ""EMP586386"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-pharmacy-feed,C000280,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,hl7-pharmacy-feed-3,C000317,,"INTERFACE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""INTERFACE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ed-triage-1,C000306,EMP343510,"SHARED identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": ""EMP343510"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ed-triage-1-3,C000333,,"SHARED identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-icu-station-3-2,C000269,,"SHARED identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-icu-station-3-5,C000310,,"SHARED identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-theatre-2-2,C000305,EMP586386,"SHARED identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": ""EMP586386"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-theatre-2-3,C000315,EMP560948,"SHARED identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": ""EMP560948"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ward-b-desk,C000260,,"SHARED identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ward-b-desk-2,C000271,,"SHARED identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ward-b-desk-3,C000282,EMP567388,"SHARED identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": ""EMP567388"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,HIGH,ws-ward-b-desk-5,C000320,,"SHARED identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [], ""entitlements_held"": 2, ""nhi_class"": ""SHARED"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R5_SOD_VIOLATION,HIGH,aisha.almansouri,C000009,EMP204991,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,aisha.reddy2,C000196,EMP949743,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,amara.smith,C000349,EMP924080,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,anjali.lopez,C000179,EMP840152,SOD-PROC-01: requisition raising and purchase approval,yes,"{""entitlements"": [""ORA_PO_REQUISITION"", ""ORA_PO_APPROVE""], ""rationale"": ""Permits self-approved procurement."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-PROC-01""}"
R5_SOD_VIOLATION,HIGH,carlos.zhang,C000233,EMP201084,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,chen.zhao,C000156,EMP580868,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,daniel.miller,C000344,EMP421610,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,emeka.garcia2,C000090,EMP269106,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,emma.wang,C000023,EMP134897,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,faisal.santos,C000187,EMP794447,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,huda.jones,C000207,EMP840350,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,huda.kapoor,C000185,EMP212346,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,james.garcia,C000194,EMP998024,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,layla.kapoor,C000093,EMP940131,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,maria.williams,C000188,EMP936397,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,meera.smith,C000190,EMP826708,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,michael.garcia,C000088,EMP157026,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,miguel.desai,C000074,EMP381372,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,noor.miller,C000130,EMP419920,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,priya.johnson2,C000110,EMP470768,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,rosa.liu,C000104,EMP256130,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,salim.ahmed,C000002,EMP574370,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,sanjay.williams,C000224,EMP705742,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,sarah.martinez,C000184,EMP701508,SOD-FIN-02: journal entry and journal approval,yes,"{""entitlements"": [""ORA_GL_JOURNAL_ENTRY"", ""ORA_GL_JOURNAL_APPROVE""], ""rationale"": ""Permits unreviewed adjustment of the general ledger."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-02""}"
R5_SOD_VIOLATION,HIGH,tariq.mensah,C000222,EMP615599,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,zainab.rahman,C000379,EMP712039,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,zainab.reddy,C000083,EMP640044,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
R5_SOD_VIOLATION,HIGH,zara.williams,C000244,EMP846294,SOD-CLIN-02: result entry and result authorisation,no,"{""entitlements"": [""LIS_RESULT_ENTRY"", ""LIS_RESULT_AUTHORISE""], ""rationale"": ""Permits unverified release of diagnostic results."", ""reachable_from_platform_data"": false, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-CLIN-02""}"
